Date,Close
2015-01-01,76
2015-02-01,77
2015-03-01,92
2015-04-01,84
2015-05-01,71
2015-06-01,65
2015-07-01,104
2015-08-01,94
2015-09-01,82
2015-10-01,84
2015-11-01,77
2015-12-01,88
2016-01-01,81
2016-02-01,86
2016-03-01,92
2016-04-01,73
2016-05-01,74
2016-06-01,92
2016-07-01,72
2016-08-01,82
2016-09-01,78
2016-10-01,77
2016-11-01,77
2016-12-01,78
2017-01-01,92
2017-02-01,100
2017-03-01,76
2017-04-01,67
2017-05-01,74
2017-06-01,84
2017-07-01,94
2017-08-01,82
2017-09-01,70
2017-10-01,85
2017-11-01,84
2017-12-01,78
2018-01-01,99
2018-02-01,80
2018-03-01,109
2018-04-01,98
2018-05-01,83
2018-06-01,81
2018-07-01,89
2018-08-01,74
2018-09-01,55
2018-10-01,75
2018-11-01,77
2018-12-01,71
2019-01-01,94
2019-02-01,72
2019-03-01,88
2019-04-01,71
2019-05-01,74
2019-06-01,86
2019-07-01,80
2019-08-01,86
2019-09-01,78
2019-10-01,90
2019-11-01,77
2019-12-01,106
2020-01-01,89
2020-02-01,80
2020-03-01,94
2020-04-01,77
2020-05-01,110
